Event Name,Date,Location,Type,Region,Website,Latitude,Longitude,ShortForecast
Dark Star Orchestra,2/9/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/dark-star-orchestra/,47.6085136,-122.3394726,Weather forecast not found for specific date
Gov’t Mule,2/9/2024,The Moore Theatre,Music,Downtown,https://visitseattle.org/events/govt-mule/,42.2896932,-83.7207314,Weather forecast not found for specific date
Mayer Hawthorne,2/9/2024,The Neptune Theatre,Music,University District,https://visitseattle.org/events/mayer-hawthorne/,N/A,N/A,N/A
Moontricks,2/9/2024,The Crocodile,Music,Downtown,https://visitseattle.org/events/moontricks/,47.6146474,-122.3490734,Weather forecast not found for specific date
OBOE / OBOE,2/9/2024,415 Westlake,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/oboe-oboe/,47.622554,-122.3386578,Weather forecast not found for specific date
Seattle Boat Show,2/2/2024 through 2/10/2024,Lumen Field,Festivals & Special Events,Pioneer Square,https://visitseattle.org/events/seattle-boat-show/,47.5953459,-122.33164431196111,Weather forecast not found for specific date
Randall Goosby Plays Mozart,2/8/2024 through 2/10/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/randall-goosby-plays-mozart/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Art by Design,2/9/2024 through 2/10/2024,Seattle Design Center,Visual Arts & Galleries,Downtown,https://visitseattle.org/events/art-by-design/,47.55148885,-122.32828666347223,Weather forecast not found for specific date
Brazilian Carnaval 2024,2/10/2024,The Crocodile,Music,Downtown,https://visitseattle.org/events/brazilian-carnaval-2024/,47.6146474,-122.3490734,Weather forecast not found for specific date
Chase Rice,2/10/2024,Showbox SoDo,Music,Pioneer Square,https://visitseattle.org/events/chase-rice/,47.5880461,-122.333928,Weather forecast not found for specific date
Joe “Mr. D”  Dombrowski,2/10/2024,The Moore Theatre,Theatre,Downtown,https://visitseattle.org/events/joe-mr-d-dombrowski/,42.2896932,-83.7207314,Weather forecast not found for specific date
JVNA,2/10/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/jvna/,47.6085136,-122.3394726,Weather forecast not found for specific date
The Temptations &  The Four Tops,2/10/2024,The Paramount Theatre,Music,Downtown,https://visitseattle.org/events/the-temptations-the-four-tops/,40.8697559,-73.42561952873208,Weather forecast not found for specific date
Quixote Nuevo,Now through 2/11/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center,https://visitseattle.org/events/quixote-nuevo/,47.6145597,-122.3285576,Weather forecast not found for specific date
Kent Stowell’s Swan Lake,2/2/2024 through 2/11/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,https://visitseattle.org/events/kent-stowells-swan-lake/,47.62397705,-122.35038850536958,Weather forecast not found for specific date
Blood Sweat  and Tears,2/8/2024 through 2/11/2024,Dimitriou's Jazz Alley,Music,Downtown,https://visitseattle.org/events/blood-sweat-and-tears/,47.6148163,-122.339691,Weather forecast not found for specific date
Love at the Zoo,2/10/2024 through 2/11/2024,Point Defiance Zoo and Aquarium,Festivals & Special Events,South,https://visitseattle.org/events/love-at-the-zoo/,47.3049439,-122.52137750626918,Weather forecast not found for specific date
Scott Bradlee’s Postmodern Jukebox,2/11/2024,The Paramount Theatre,Music,Downtown,https://visitseattle.org/events/scott-bradlees-postmodern-jukebox/,40.8697559,-73.42561952873208,Weather forecast not found for specific date
Tourist and Amtrac,2/11/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/tourist-and-amtrac/,47.6085136,-122.3394726,Weather forecast not found for specific date
Eliades Ochoa,2/13/2024,The Moore Theatre,Music,Downtown,https://visitseattle.org/events/eliades-ochoa/,42.2896932,-83.7207314,Weather forecast not found for specific date
K. Wayne Yang,2/13/2024,Town Hall Seattle,Readings & Lectures,Downtown,https://visitseattle.org/events/k-wayne-yang/,47.6090191,-122.32993774092222,Weather forecast not found for specific date
Maddie Zahm,2/15/2024,The Neptune Theatre,Music,University District,https://visitseattle.org/events/maddie-zahm/,N/A,N/A,N/A
Cory Wong Winter 2024 Tour,2/16/2024,The Paramount Theatre,Music,Downtown,https://visitseattle.org/events/cory-wong-winter-2024-tour/,40.8697559,-73.42561952873208,Weather forecast not found for specific date
Circa:Humans 2.0,2/15/2024 through 2/17/2024,Meany Center for the Performing Arts,Theatre,University District,https://visitseattle.org/events/circahumans-2-0/,N/A,N/A,N/A
Jon Batiste,2/17/2024,The Paramount Theatre,Music,Downtown,https://visitseattle.org/events/jon-batiste/,40.8697559,-73.42561952873208,Weather forecast not found for specific date
TobyMac Hits Deep 2024,2/17/2024,accesso ShoWare Center,Music,South,https://visitseattle.org/events/tobymac-hits-deep-2024/,47.38765995,-122.24000381780328,Weather forecast not found for specific date
A Case for the Existence of God,2/2/2024 through 2/18/2024,ACT Theatre,Theatre,Downtown,https://visitseattle.org/events/a-case-for-the-existence-of-god/,47.6108495,-122.3323262,Weather forecast not found for specific date
Northwest Flower & Garden Festival,2/14/2024 through 2/18/2024,Seattle Convention Center,Festivals & Special Events,Downtown,https://visitseattle.org/events/northwest-flower-garden-festival/,47.61175385,-122.33156275066185,Weather forecast not found for specific date
The Princess Bride in Concert with the Seattle Symphony,2/14/2024 through 2/18/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/the-princess-bride-in-concert-with-the-seattle-symphony/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Mindi Abair Wine and Jazz Tour 2024,2/15/2024 through 2/18/2024,Dimitriou's Jazz Alley,Music,Downtown,https://visitseattle.org/events/mindi-abair-wine-and-jazz-tour-2024/,47.6148163,-122.339691,Weather forecast not found for specific date
Madonna,2/17/2024 through 2/18/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/madonna/,47.6219014,-122.353990491486,Weather forecast not found for specific date
"Meet the Author: Maggie Taft, The Chieftain and the Chair",2/18/2024,National Nordic Museum,Museums,Fremont / Ballard,https://visitseattle.org/events/meet-the-author-maggie-taft-the-chieftain-and-the-chair/,47.6683615,-122.39177949359151,Weather forecast not found for specific date
Seattle Kraken vs. Detroit Red Wings,2/19/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-detroit-red-wings/,47.6219014,-122.353990491486,Weather forecast not found for specific date
From Mozart to Matthews,2/20/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/from-mozart-to-matthews/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Lukas Nelson,2/20/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/lukas-nelson/,47.6085136,-122.3394726,Weather forecast not found for specific date
Mahogany – smARTfilms: Black Luxury,2/20/2024,Bainbridge Island Museum of Art,Film & Media Arts,West,https://visitseattle.org/events/mahogany-smartfilms-black-luxury/,47.6251322,-122.51453295865404,Weather forecast not found for specific date
"Wu Han, Philip Setzer & David Finckel",2/20/2024,Meany Center for the Performing Arts,Music,University District,https://visitseattle.org/events/wu-han-philip-setzer-david-finckel/,N/A,N/A,N/A
The Cookers,2/20/2024 through 2/21/2024,Dimitriou's Jazz Alley,Music,Downtown,https://visitseattle.org/events/the-cookers/,47.6148163,-122.339691,Weather forecast not found for specific date
Side-by-Side with Seattle Youth Symphony Orchestra,2/21/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/side-by-side-with-seattle-youth-symphony-orchestra/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Seattle Kraken vs. Vancouver Canucks,2/22/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-vancouver-canucks/,47.6219014,-122.353990491486,Weather forecast not found for specific date
Funky Friday with F2D,Now through 2/23/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,https://visitseattle.org/events/funky-friday-with-f2d/,47.6615049,-122.332319,Weather forecast not found for specific date
BLACKSTAR SYMPHONY: The Music of David Bowie,2/23/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/blackstar-symphony-the-music-of-david-bowie/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Opera Talk: The Making of X,2/23/2024,Opera Center,Readings & Lectures,Queen Anne / Seattle Center,https://visitseattle.org/events/opera-talk-the-making-of-x/,44.43358325,26.079138268508792,"Error fetching weather data: HTTPSConnectionPool(host='api.weather.gov', port=443): Read timed out. (read timeout=1)"
Wreckno,2/23/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/wreckno/,47.6085136,-122.3394726,Weather forecast not found for specific date
Kelly Akashi,Now through 2/24/2024,Henry Art Gallery,Museums,University District,https://visitseattle.org/events/kelly-akashi/,47.6565246,-122.31173279895636,Weather forecast not found for specific date
The Lower Depths,2/6/2024 through 2/24/2024,Erickson Theatre,Theatre,Capitol Hill / Central District,https://visitseattle.org/events/the-lower-depths/,47.61467195,-122.3217419,Weather forecast not found for specific date
Dan Brown Wild Symphony,2/24/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/dan-brown-wild-symphony/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Pink Sweat$,2/24/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/pink-sweat/,47.6085136,-122.3394726,Weather forecast not found for specific date
Seattle Kraken vs. Minnesota Wild,2/24/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-minnesota-wild-2/,47.6219014,-122.353990491486,Weather forecast not found for specific date
Small Island Big Song,2/24/2024,Meany Center for the Performing Arts,Music,University District,https://visitseattle.org/events/small-island-big-song/,N/A,N/A,N/A
Born With Teeth,2/1/2024 through 2/25/2024,ArtsWest Playhouse and Gallery,Theatre,West Seattle,https://visitseattle.org/events/born-with-teeth/,N/A,N/A,N/A
"Once More, Just For You",2/5/2024 through 2/25/2024,Seattle Public Theater,Theatre,Wallingford / Greenlake,https://visitseattle.org/events/once-more-just-for-you/,47.6821341,-122.3398325,Weather forecast not found for specific date
Wintergrass Music Festival,2/22/2024 through 2/25/2024,Hyatt Regency Bellevue,Festivals & Special Events,Bellevue / Eastside,https://visitseattle.org/events/wintergrass-music-festival/,47.618258,-122.20116,Weather forecast not found for specific date
Seattle Kraken vs. Boston Bruins,2/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-boston-bruins/,47.6219014,-122.353990491486,Weather forecast not found for specific date
Hunt for Sleeping Giants | National Geographic Live,2/25/2024 through 2/27/2024,Benaroya Hall,Readings & Lectures,Downtown,https://visitseattle.org/events/hunt-for-sleeping-giants-national-geographic-live/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Playboi Carti,2/28/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/playboi-carti/,47.6219014,-122.353990491486,Weather forecast not found for specific date
Winter Brilliance,Now through 2/29/2024,Chihuly Garden and Glass,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/winter-brilliance/,47.6205296,-122.35020712496446,Weather forecast not found for specific date
Seattle Museum Month,2/1/2024 through 2/29/2024,Downtown Seattle,Museums,Downtown,https://visitseattle.org/events/seattle-museum-month/,47.5989361,-122.3279543,Weather forecast not found for specific date
Seattle Kraken vs. Pittsburgh Penguins,2/29/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-pittsburgh-penguins/,47.6219014,-122.353990491486,Weather forecast not found for specific date
The Human Family,2/29/2024,LANGSTON Seattle,Music,Capitol Hill / Central District,https://visitseattle.org/events/the-human-family-2/,47.6012977,-122.30982515103054,Weather forecast not found for specific date
Fall Out Boy,3/1/2024,Climate Pledge Arena,Readings & Lectures,Queen Anne / Seattle Center,https://visitseattle.org/events/fall-out-boy/,47.6219014,-122.353990491486,Weather forecast not found for specific date
Tacoma Stars vs. Harrisburg Heat,3/1/2024,accesso ShoWare Center,Sports,South,https://visitseattle.org/events/tacoma-stars-vs-harrisburg-heat/,47.38765995,-122.24000381780328,Weather forecast not found for specific date
Conrad Tao’s Playlist,3/1/2024 through 3/2/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/conrad-taos-playlist/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Seattle Kraken vs. Edmonton Oilers,3/2/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-edmonton-oilers/,47.6219014,-122.353990491486,Weather forecast not found for specific date
Emerald City Comic Con,2/29/2024 through 3/3/2024,Seattle Convention Center,Festivals & Special Events,Downtown,https://visitseattle.org/events/emerald-city-comic-con/,47.61175385,-122.33156275066185,Weather forecast not found for specific date
Tacoma Stars vs. Harrisburg Heat,3/3/2024,accesso ShoWare Center,Music,South,https://visitseattle.org/events/tacoma-stars-vs-harrisburg-heat-2/,47.38765995,-122.24000381780328,Weather forecast not found for specific date
Calidore Quartet & Abeo Quartet,3/8/2024,415 Westlake,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/calidore-quartet-abeo-quartet/,47.622554,-122.3386578,Weather forecast not found for specific date
Holding / Movement,3/8/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/holding-movement/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Seattle Kraken vs. Winnipeg Jets,3/8/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-winnipeg-jets/,47.6219014,-122.353990491486,Weather forecast not found for specific date
X:The Life and Times of Malcolm X,2/24/2024 through 3/9/2024,Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/xthe-life-and-times-of-malcolm-x/,47.62397705,-122.35038850536958,Weather forecast not found for specific date
Bach St. John Passion,3/7/2024 through 3/9/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/bach-st-john-passion/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Helene Grimaud,3/9/2024,Meany Center for the Performing Arts,Music,University District,https://visitseattle.org/events/helene-grimaud/,N/A,N/A,N/A
Positive Fragmentation,Now through 3/10/2024,Bellevue Arts Museum,Museums,Bellevue / Eastside,https://visitseattle.org/events/positive-fragmentation/,-21.266983,55.4113864,Weather API response code: 404
Antonio M. Gomez: LINEAJES,Now through 3/10/2024,Frye Art Museum,Museums,Capitol Hill / Central District,https://visitseattle.org/events/antonio-m-gomez-lineajes/,47.60719095,-122.32405377084555,Weather forecast not found for specific date
Soren Solkaer: Sort Sol,Now through 3/10/2024,National Nordic Museum,Museums,Fremont / Ballard,https://visitseattle.org/events/soren-solkaer-sort-sol/,47.6683615,-122.39177949359151,Weather forecast not found for specific date
Luchadora!,2/22/2024 through 3/10/2024,Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center,https://visitseattle.org/events/luchadora/,47.6204553,-122.35225726215312,Weather forecast not found for specific date
Wild Cats Revealed | National Geographic Live,3/10/2024 through 3/12/2024,Benaroya Hall,Readings & Lectures,Downtown,https://visitseattle.org/events/wild-cats-revealed-national-geographic-live/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Seattle Kraken vs. Vegas Golden Knights,3/12/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-vegas-golden-knights/,47.6219014,-122.353990491486,Weather forecast not found for specific date
Seattle Kraken vs. Washington Capitals,3/14/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-washington-capitals/,47.6219014,-122.353990491486,Weather forecast not found for specific date
Mark Morris Dance Group: The Look of Love,3/14/2024 through 3/16/2024,Meany Center for the Performing Arts,Music,University District,https://visitseattle.org/events/mark-morris-dance-group-the-look-of-love/,N/A,N/A,N/A
Sibelius & Nielsen,3/14/2024 through 3/16/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/sibelius-nielsen/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Tacoma Stars vs. Chihuahua Savage,3/15/2024 through 3/16/2024,accesso ShoWare Center,Sports,South,https://visitseattle.org/events/tacoma-stars-vs-chihuahua-savage/,47.38765995,-122.24000381780328,Weather forecast not found for specific date
Seattle Kraken vs. Nashville Predators,3/16/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-nashville-predators/,47.6219014,-122.353990491486,Weather forecast not found for specific date
Native Portraiture: Power and Perception,Now through 3/17/2024,Tacoma Art Museum,Museums,South,https://visitseattle.org/events/native-portraiture-power-and-perception/,47.2475134,-122.43680521780016,Weather forecast not found for specific date
Places to Call Home: Settlements in the West,Now through 3/17/2024,Tacoma Art Museum,Museums,South,https://visitseattle.org/events/places-to-call-home-settlements-in-the-west/,47.2475134,-122.43680521780016,Weather forecast not found for specific date
Nobody Lives Here,Now through 3/17/2024,Wing Luke Museum,Museums,International District,https://visitseattle.org/events/nobody-lives-here/,47.5982461,-122.3228705,Weather forecast not found for specific date
Rootabaga Country,3/8/2024 through 3/17/2024,Opera Center,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/rootabaga-country/,44.43358325,26.079138268508792,Weather API response code: 404
Seattle Kraken vs. Buffalo Sabres,3/18/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-buffalo-sabres/,47.6219014,-122.353990491486,Weather forecast not found for specific date
Tacoma Stars vs. Empire Strykers,3/23/2024,accesso ShoWare Center,Sports,South,https://visitseattle.org/events/tacoma-stars-vs-empire-strykers-2/,47.38765995,-122.24000381780328,Weather forecast not found for specific date
Something’s Afoot,3/1/2024 through 3/24/2024,The 5th Avenue Theatre,Theatre,Downtown,https://visitseattle.org/events/somethings-afoot/,39.7329068,-75.1300389,Weather forecast not found for specific date
One Thousand Pieces,3/15/2024 through 3/24/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,https://visitseattle.org/events/one-thousand-pieces/,47.62397705,-122.35038850536958,Weather forecast not found for specific date
Simon Trpceski Plays Tchaikovsky,3/21/2024 through 3/24/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/simon-trpceski-plays-tchaikovsky/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Seattle Kraken vs. Montreal Canadiens,3/24/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-montreal-canadiens/,47.6219014,-122.353990491486,Weather forecast not found for specific date
Seattle Kraken vs. Anaheim Ducks,3/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-anaheim-ducks/,47.6219014,-122.353990491486,Weather forecast not found for specific date
Seattle Kraken vs. Anaheim Ducks,3/28/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-anaheim-ducks-2/,47.6219014,-122.353990491486,Weather forecast not found for specific date
Tim McGraw,3/29/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/tim-mcgraw/,47.6219014,-122.353990491486,Weather forecast not found for specific date
Harold and the Purple Crayon,3/23/2024 through 3/30/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,https://visitseattle.org/events/harold-and-the-purple-crayon/,47.62397705,-122.35038850536958,Weather forecast not found for specific date
Seattle Kraken vs. Dallas Stars,3/30/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-dallas-stars/,47.6219014,-122.353990491486,Weather forecast not found for specific date
Illuminate: Glass Art for Early Learners,Now through 3/31/2024,Museum of Glass,Museums,South,https://visitseattle.org/events/illuminate-glass-art-for-early-learners/,47.24582405,-122.43381971536058,Weather forecast not found for specific date
Al Young’s 1970 Dodge Challenger Drag Racer,Now through 3/31/2024,Museum of History & Industry,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/al-youngs-1970-dodge-challenger-drag-racer/,47.6275114,-122.3367506,Weather forecast not found for specific date
Sanctuary City,3/1/2024 through 3/31/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center,https://visitseattle.org/events/sanctuary-city/,47.6145597,-122.3285576,Weather forecast not found for specific date
Stew,3/15/2024 through 3/31/2024,ACT Theatre,Theatre,Downtown,https://visitseattle.org/events/stew/,47.6108495,-122.3323262,Weather forecast not found for specific date
Luis Miguel,4/4/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/luis-miguel/,47.6219014,-122.353990491486,Weather forecast not found for specific date
Taylor Raven and Duke Kim in Recital,4/4/2024,Opera Center,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/taylor-raven-and-duke-kim-in-recital/,44.43358325,26.079138268508792,Weather API response code: 404
Copland Appalachian Spring,4/4/2024 through 4/6/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/copland-appalachian-spring/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
La Vaughn Belle: A History of Unruly Returns,Now through 4/7/2024,National Nordic Museum,Museums,Fremont / Ballard,https://visitseattle.org/events/la-vaughn-belle-a-history-of-unruly-returns/,47.6683615,-122.39177949359151,Weather forecast not found for specific date
Beetlejuice,4/2/2024 through 4/7/2024,The Paramount Theatre,Theatre,Downtown,https://visitseattle.org/events/beetlejuice/,40.8697559,-73.42561952873208,Weather forecast not found for specific date
Seattle Kraken vs. Arizona Coyotes,4/9/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-arizona-coyotes/,47.6219014,-122.353990491486,Weather forecast not found for specific date
Seattle Kraken vs. San Jose Sharks,4/11/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-san-jose-sharks/,47.6219014,-122.353990491486,Weather forecast not found for specific date
The Percussion: Sounds from Home,4/12/2024 through 4/13/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/the-percussion-sounds-from-home/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Honoring 50 Years of Papunya Tula Painting,Now through 4/14/2024,Seattle Art Museum,Museums,Downtown,https://visitseattle.org/events/honoring-50-years-of-papunya-tula-painting/,47.6077008,-122.3385575,Weather forecast not found for specific date
The Moors,3/22/2024 through 4/14/2024,Seattle Public Theater,Theatre,Wallingford / Greenlake,https://visitseattle.org/events/the-moors/,47.6821341,-122.3398325,Weather forecast not found for specific date
Mahler Symphony No. 3,4/11/2024 through 4/14/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/mahler-symphony-no-3/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Best of the Northwest Spring Show,4/13/2024 through 4/14/2024,Magnuson Park,Festivals & Special Events,University District,https://visitseattle.org/events/best-of-the-northwest-spring-show/,47.6819164,-122.25462087672659,Weather forecast not found for specific date
An Evening with Jinjoo Cho,4/19/2024,415 Westlake,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/an-evening-with-jinjoo-cho/,47.622554,-122.3386578,Weather forecast not found for specific date
Dvorak Symphony No. 6,4/18/2024 through 4/20/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/dvorak-symphony-no-6/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
The Seasons’ Canon,4/12/2024 through 4/21/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,https://visitseattle.org/events/the-seasons-canon/,47.62397705,-122.35038850536958,Weather forecast not found for specific date
DRUM TAO 30th Anniversary,4/22/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/drum-tao-30th-anniversary/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Disney’s Aladdin,4/24/2024 through 4/28/2024,The Paramount Theatre,Theatre,Downtown,https://visitseattle.org/events/disneys-aladdin/,40.8697559,-73.42561952873208,Weather forecast not found for specific date
Antarctic Symphony,4/25/2024 through 4/28/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/antarctic-symphony/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Shine On Seattle,1/30/2024 through 4/29/2024,Pioneer Square,Festivals & Special Events,Pioneer Square,https://visitseattle.org/events/shine-on-seattle/,45.5189007,-122.67929660431365,Weather forecast not found for specific date
Noah Geller’s Playlist,5/3/2024 through 5/4/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/noah-gellers-playlist/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Broadway Spectacular,5/4/2024,Cornish Playhouse at Seattle Center,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/broadway-spectacular/,N/A,N/A,N/A
Jessica Jackson Hutchins: Wrecked and Righteous,1/27/2024 through 5/5/2024,Frye Art Museum,Museums,Capitol Hill / Central District,https://visitseattle.org/events/jessica-jackson-hutchins-wrecked-and-righteous/,47.60719095,-122.32405377084555,Weather forecast not found for specific date
The Lion Tells His Tale,5/1/2024 through 5/5/2024,Broadway Performance Hall,Theatre,Capitol Hill / Central District,https://visitseattle.org/events/the-lion-tells-his-tale/,47.6158151,-122.32186077039998,Weather forecast not found for specific date
"Guma’ Gela:  Part Land, Part Sea, All Ancestry",Now through 5/12/2024,Wing Luke Museum,Museums,International District,https://visitseattle.org/events/guma-gela-part-land-part-sea-all-ancestry/,47.5982461,-122.3228705,Weather forecast not found for specific date
Fat Ham,4/12/2024 through 5/12/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center,https://visitseattle.org/events/fat-ham/,47.6145597,-122.3285576,Weather forecast not found for specific date
A Tale of Peter Rabbit,4/25/2024 through 5/12/2024,Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center,https://visitseattle.org/events/a-tale-of-peter-rabbit/,47.6204553,-122.35225726215312,Weather forecast not found for specific date
The Lehman Trilogy,4/26/2024 through 5/12/2024,ACT Theatre,Theatre,Downtown,https://visitseattle.org/events/the-lehman-trilogy/,47.6108495,-122.3323262,Weather forecast not found for specific date
The Untold Story of Sharks | National Geographic Live,5/12/2024 through 5/14/2024,Benaroya Hall,Readings & Lectures,Downtown,https://visitseattle.org/events/the-untold-story-of-sharks-national-geographic-live/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Mother,5/17/2024,415 Westlake,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/mother/,47.622554,-122.3386578,Weather forecast not found for specific date
Barber Violin Concerto,5/16/2024 through 5/18/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/barber-violin-concerto/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
The Barber of Seville,5/4/2024 through 5/24/2024,Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/the-barber-of-seville/,47.62397705,-122.35038850536958,Weather forecast not found for specific date
Unriveled,5/10/2024 through 6/2/2024,Seattle Public Theater,Theatre,Wallingford / Greenlake,https://visitseattle.org/events/unriveled/,47.6821341,-122.3398325,Weather forecast not found for specific date
George Balenchine’s Coppelia,5/31/2024 through 6/9/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,https://visitseattle.org/events/george-balenchines-coppelia/,47.62397705,-122.35038850536958,Weather forecast not found for specific date
Jan Lisiecki Plays Prokofiev,6/6/2024 through 6/9/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/jan-lisiecki-plays-prokofiev/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Beethoven Symphony No. 5,6/13/2024 through 6/15/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/beethoven-symphony-no-5/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Elizabeth Malaska: All Be Your Mirror,Now through 6/16/2024,Seattle Art Museum,Museums,Downtown,https://visitseattle.org/events/elizabeth-malaska-all-be-your-mirror/,47.6077008,-122.3385575,Weather forecast not found for specific date
